misspec_delta_sim8.log.ancStates	.015	.013	.007	.015	.946
misspec_delta_sim12.log.ancStates	.015	.018	.922	.018	.023
misspec_delta_sim15.log.ancStates	.079	.085	.074	.712	.047
misspec_delta_sim16.log.ancStates	.978	.007	.005	.005	.002
misspec_delta_sim23.log.ancStates	0	0	.002	0	.997
misspec_delta_sim24.log.ancStates	.558	.037	.015	.039	.348
misspec_delta_sim27.log.ancStates	0	0	.630	.015	.353
misspec_delta_sim33.log.ancStates	.013	.281	.683	.010	.010
misspec_delta_sim40.log.ancStates	.077	.055	.077	.218	.571
misspec_delta_sim41.log.ancStates	.063	.037	.045	.061	.792
misspec_delta_sim46.log.ancStates	.098	.654	.074	.071	.101
misspec_delta_sim49.log.ancStates	.010	.957	.010	.002	.018
misspec_delta_sim52.log.ancStates	.087	.087	.071	.085	.667
misspec_delta_sim55.log.ancStates	.031	.023	.007	.914	.021
misspec_delta_sim59.log.ancStates	.055	.010	.143	.106	.683
misspec_delta_sim61.log.ancStates	.343	.101	.308	.188	.058
misspec_delta_sim62.log.ancStates	.034	.327	.053	.555	.029
misspec_delta_sim64.log.ancStates	.002	0	.994	.002	0
misspec_delta_sim79.log.ancStates	.023	.885	.031	.029	.029
misspec_delta_sim81.log.ancStates	.074	.750	.055	.063	.055
misspec_delta_sim86.log.ancStates	.539	.045	.042	.311	.061
misspec_delta_sim89.log.ancStates	.015	.021	.941	.015	.005
misspec_delta_sim97.log.ancStates	.023	.013	.013	.013	.936
misspec_delta_sim100.log.ancStates	.002	.007	.981	.005	.002
misspec_delta_sim102.log.ancStates	.005	.976	.002	.007	.007
misspec_delta_sim105.log.ancStates	.101	.077	.093	.683	.045
misspec_delta_sim106.log.ancStates	.031	.047	.835	.045	.039
misspec_delta_sim110.log.ancStates	.039	.013	.018	.005	.922
misspec_delta_sim112.log.ancStates	.002	0	.002	0	.994
misspec_delta_sim115.log.ancStates	.965	.007	.005	.002	.018
misspec_delta_sim119.log.ancStates	.015	.010	.954	.005	.013
misspec_delta_sim120.log.ancStates	.077	.273	.042	.047	.558
misspec_delta_sim126.log.ancStates	.904	.021	.023	.021	.029
misspec_delta_sim127.log.ancStates	.095	.021	.026	.832	.023
misspec_delta_sim134.log.ancStates	.010	.005	.002	.007	.973
misspec_delta_sim140.log.ancStates	.906	.021	.026	.021	.023
misspec_delta_sim142.log.ancStates	.015	.952	.007	.007	.015
misspec_delta_sim145.log.ancStates	.013	.007	.005	.007	.965
misspec_delta_sim147.log.ancStates	.007	.968	.007	.010	.005
misspec_delta_sim152.log.ancStates	.029	.029	.023	.747	.170
misspec_delta_sim154.log.ancStates	.010	.018	.930	.023	.015
misspec_delta_sim155.log.ancStates	.742	.082	.050	.047	.077
misspec_delta_sim157.log.ancStates	.002	0	0	.994	.002
misspec_delta_sim158.log.ancStates	.909	.015	.021	.029	.023
misspec_delta_sim162.log.ancStates	.994	.002	.002	0	0
misspec_delta_sim164.log.ancStates	.007	.013	.949	.018	.010
misspec_delta_sim171.log.ancStates	.566	.021	.023	.015	.372
misspec_delta_sim173.log.ancStates	.098	.103	.132	.103	.561
misspec_delta_sim175.log.ancStates	.244	.042	.037	.021	.654
misspec_delta_sim183.log.ancStates	.015	.010	.029	.936	.007
misspec_delta_sim187.log.ancStates	.140	.715	.037	.063	.042
misspec_delta_sim189.log.ancStates	0	.933	.005	.047	.013
misspec_delta_sim192.log.ancStates	.093	.047	.061	.611	.186
misspec_delta_sim195.log.ancStates	.010	.906	.058	.005	.018
misspec_delta_sim196.log.ancStates	.063	.013	.898	.018	.005
misspec_delta_sim203.log.ancStates	.031	.026	.890	.023	.026
misspec_delta_sim205.log.ancStates	.005	.007	.010	.957	.018
misspec_delta_sim206.log.ancStates	.978	.007	.002	.007	.002
misspec_delta_sim210.log.ancStates	.928	.034	.010	.005	.021
misspec_delta_sim212.log.ancStates	.010	.361	.034	.015	.577
misspec_delta_sim215.log.ancStates	.039	.047	.037	.114	.760
misspec_delta_sim216.log.ancStates	.978	.010	0	.007	.002
misspec_delta_sim218.log.ancStates	.002	.968	.010	.010	.007
misspec_delta_sim219.log.ancStates	.103	.375	.069	.361	.090
misspec_delta_sim221.log.ancStates	.002	.007	.002	.986	0
misspec_delta_sim228.log.ancStates	.031	.013	.039	.896	.018
misspec_delta_sim230.log.ancStates	.236	.055	.414	.061	.231
misspec_delta_sim231.log.ancStates	.026	.034	.018	.651	.268
misspec_delta_sim234.log.ancStates	.699	.090	.071	.077	.061
misspec_delta_sim242.log.ancStates	.109	.061	.699	.063	.066
misspec_delta_sim250.log.ancStates	.569	.005	.390	.015	.018
misspec_delta_sim256.log.ancStates	.058	.119	.095	.231	.494
misspec_delta_sim259.log.ancStates	.061	.050	.763	.063	.061
misspec_delta_sim261.log.ancStates	.010	.031	.005	.005	.946
misspec_delta_sim262.log.ancStates	.021	.023	.925	.015	.013
misspec_delta_sim267.log.ancStates	.010	.002	0	.986	0
misspec_delta_sim269.log.ancStates	.992	0	0	.005	.002
misspec_delta_sim272.log.ancStates	.202	.061	.436	.026	.273
misspec_delta_sim276.log.ancStates	.066	.699	.021	.204	.007
misspec_delta_sim281.log.ancStates	.034	.037	.805	.045	.077
misspec_delta_sim283.log.ancStates	.002	.002	.989	.005	0
misspec_delta_sim284.log.ancStates	.005	.973	.010	.005	.005
misspec_delta_sim289.log.ancStates	.029	.867	.031	.031	.039
misspec_delta_sim293.log.ancStates	.007	.002	.973	.002	.013
misspec_delta_sim294.log.ancStates	.005	.106	.007	.013	.867
misspec_delta_sim298.log.ancStates	.055	.063	.077	.029	.773
misspec_delta_sim299.log.ancStates	0	.002	.989	.002	.005
misspec_delta_sim300.log.ancStates	.053	.047	.803	.037	.058
misspec_delta_sim302.log.ancStates	.007	.002	.002	.984	.002
misspec_delta_sim304.log.ancStates	.869	.029	.034	.034	.031
misspec_delta_sim307.log.ancStates	.023	.026	.885	.042	.021
misspec_delta_sim308.log.ancStates	.013	.005	0	.678	.303
misspec_delta_sim311.log.ancStates	.013	.941	0	.021	.023
misspec_delta_sim313.log.ancStates	.034	.156	.018	.771	.018
misspec_delta_sim321.log.ancStates	.002	0	0	.994	.002
misspec_delta_sim324.log.ancStates	.375	.018	.018	.021	.566
misspec_delta_sim325.log.ancStates	.186	.430	.172	.125	.085
misspec_delta_sim328.log.ancStates	.103	.279	.132	.194	.289
misspec_delta_sim334.log.ancStates	.965	.010	.005	.005	.013
misspec_delta_sim339.log.ancStates	.875	.026	.018	.045	.034
misspec_delta_sim340.log.ancStates	.002	.901	.063	.015	.015
misspec_delta_sim344.log.ancStates	.042	.037	.077	.819	.023
misspec_delta_sim347.log.ancStates	0	.002	.007	.978	.010
misspec_delta_sim350.log.ancStates	.582	.034	.199	.119	.063
misspec_delta_sim354.log.ancStates	.053	.023	.859	.029	.034
misspec_delta_sim355.log.ancStates	.005	.010	.007	.007	.968
misspec_delta_sim356.log.ancStates	.013	.494	.029	.438	.023
misspec_delta_sim358.log.ancStates	.039	.042	.013	.885	.018
misspec_delta_sim360.log.ancStates	0	0	1.000	0	0
misspec_delta_sim363.log.ancStates	.002	.021	.960	.007	.007
misspec_delta_sim368.log.ancStates	.002	.965	.007	.018	.005
misspec_delta_sim369.log.ancStates	.146	.093	.101	.534	.125
misspec_delta_sim370.log.ancStates	.699	.087	.082	.053	.077
misspec_delta_sim378.log.ancStates	.018	.893	.053	.021	.013
misspec_delta_sim381.log.ancStates	.079	.093	.547	.058	.220
misspec_delta_sim388.log.ancStates	.015	.007	.013	.013	.949
misspec_delta_sim391.log.ancStates	0	.002	.992	0	.005
misspec_delta_sim393.log.ancStates	.002	0	.997	0	0
