extant_misspec_m_sim0.log.ancStates	.837	.021	.045	.058	.037
extant_misspec_m_sim4.log.ancStates	.023	.023	.696	.207	.047
extant_misspec_m_sim5.log.ancStates	.021	.021	.023	.885	.047
extant_misspec_m_sim6.log.ancStates	.015	.026	.949	.005	.002
extant_misspec_m_sim9.log.ancStates	.739	.061	.074	.058	.066
extant_misspec_m_sim10.log.ancStates	.010	.010	.023	.933	.021
extant_misspec_m_sim14.log.ancStates	0	.002	.981	.007	.007
extant_misspec_m_sim19.log.ancStates	.385	.045	.045	.473	.050
extant_misspec_m_sim21.log.ancStates	.811	.037	.098	.029	.023
extant_misspec_m_sim23.log.ancStates	.002	.010	.010	.002	.973
extant_misspec_m_sim26.log.ancStates	.125	.055	.393	.382	.042
extant_misspec_m_sim29.log.ancStates	.598	.029	.018	.031	.321
extant_misspec_m_sim31.log.ancStates	.013	.781	.042	.031	.130
extant_misspec_m_sim33.log.ancStates	.026	.289	.021	.622	.039
extant_misspec_m_sim39.log.ancStates	.021	.015	.460	.484	.018
extant_misspec_m_sim40.log.ancStates	.002	.002	.992	0	.002
extant_misspec_m_sim41.log.ancStates	.055	.571	.186	.132	.053
extant_misspec_m_sim44.log.ancStates	.890	.015	.010	.058	.023
extant_misspec_m_sim49.log.ancStates	.077	.750	.053	.063	.055
extant_misspec_m_sim52.log.ancStates	.071	.101	.066	.079	.680
extant_misspec_m_sim53.log.ancStates	.023	.034	.906	.013	.021
extant_misspec_m_sim54.log.ancStates	.015	.010	.018	.933	.021
extant_misspec_m_sim56.log.ancStates	.090	.518	.082	.069	.239
extant_misspec_m_sim60.log.ancStates	.372	.034	.053	.500	.039
extant_misspec_m_sim67.log.ancStates	.082	.061	.074	.077	.704
extant_misspec_m_sim71.log.ancStates	.029	.029	.013	.901	.026
extant_misspec_m_sim74.log.ancStates	.002	.002	.015	.805	.172
extant_misspec_m_sim75.log.ancStates	.018	.021	.058	.015	.885
extant_misspec_m_sim77.log.ancStates	0	.002	.992	0	.005
extant_misspec_m_sim85.log.ancStates	.079	.215	.207	.250	.247
extant_misspec_m_sim91.log.ancStates	.013	.005	.018	.954	.007
extant_misspec_m_sim93.log.ancStates	.023	.013	.917	.029	.015
extant_misspec_m_sim103.log.ancStates	0	.005	.005	.976	.013
extant_misspec_m_sim107.log.ancStates	.005	.986	0	.002	.005
extant_misspec_m_sim118.log.ancStates	.007	.002	.005	.978	.005
extant_misspec_m_sim127.log.ancStates	.002	.002	.002	.989	.002
extant_misspec_m_sim128.log.ancStates	.337	.085	.058	.242	.276
extant_misspec_m_sim133.log.ancStates	.010	.007	.007	.965	.007
extant_misspec_m_sim136.log.ancStates	.031	.122	.140	.545	.159
extant_misspec_m_sim137.log.ancStates	.002	0	0	0	.997
extant_misspec_m_sim139.log.ancStates	.058	.356	.146	.061	.377
extant_misspec_m_sim144.log.ancStates	.265	.122	.098	.119	.393
extant_misspec_m_sim150.log.ancStates	.015	.021	.909	.034	.018
extant_misspec_m_sim155.log.ancStates	.045	.013	.021	.026	.893
extant_misspec_m_sim158.log.ancStates	.114	.377	.031	.175	.300
extant_misspec_m_sim160.log.ancStates	.667	.021	.268	.018	.023
extant_misspec_m_sim163.log.ancStates	0	0	0	0	1.000
extant_misspec_m_sim165.log.ancStates	.202	.021	.029	.029	.718
extant_misspec_m_sim167.log.ancStates	.021	.688	.034	.239	.015
extant_misspec_m_sim170.log.ancStates	0	0	.002	.005	.992
extant_misspec_m_sim172.log.ancStates	.042	.058	.534	.321	.042
extant_misspec_m_sim174.log.ancStates	.015	.010	.359	.023	.590
extant_misspec_m_sim178.log.ancStates	0	.002	.994	.002	0
extant_misspec_m_sim180.log.ancStates	.731	.023	.191	.018	.034
extant_misspec_m_sim182.log.ancStates	.031	.002	0	.050	.914
extant_misspec_m_sim190.log.ancStates	.010	.101	.018	.015	.853
extant_misspec_m_sim192.log.ancStates	.058	.803	.061	.042	.034
extant_misspec_m_sim193.log.ancStates	.015	.005	.013	.960	.005
extant_misspec_m_sim194.log.ancStates	.906	.034	.015	.023	.018
extant_misspec_m_sim195.log.ancStates	.002	.015	.005	.005	.970
extant_misspec_m_sim197.log.ancStates	.045	.061	.063	.659	.170
extant_misspec_m_sim198.log.ancStates	.037	.154	.037	.686	.085
extant_misspec_m_sim212.log.ancStates	.885	.023	.021	.031	.037
extant_misspec_m_sim214.log.ancStates	.023	.026	.875	.031	.042
extant_misspec_m_sim220.log.ancStates	1.000	0	0	0	0
extant_misspec_m_sim222.log.ancStates	.021	.002	0	.010	.965
extant_misspec_m_sim224.log.ancStates	.005	.002	.005	.986	0
extant_misspec_m_sim225.log.ancStates	.010	.013	.013	.946	.015
extant_misspec_m_sim230.log.ancStates	.005	.007	.007	.002	.976
extant_misspec_m_sim234.log.ancStates	.984	.007	0	0	.007
extant_misspec_m_sim236.log.ancStates	.010	.002	0	.984	.002
extant_misspec_m_sim242.log.ancStates	.002	.002	.005	.005	.984
extant_misspec_m_sim246.log.ancStates	0	1.000	0	0	0
extant_misspec_m_sim256.log.ancStates	.002	.984	.005	.002	.005
extant_misspec_m_sim257.log.ancStates	.010	.013	.007	.010	.957
extant_misspec_m_sim258.log.ancStates	.138	.667	.042	.074	.077
extant_misspec_m_sim259.log.ancStates	0	.002	.002	0	.994
extant_misspec_m_sim263.log.ancStates	.021	.015	.944	.010	.007
extant_misspec_m_sim266.log.ancStates	0	.007	.005	.002	.984
extant_misspec_m_sim267.log.ancStates	.005	.973	.007	.007	.005
extant_misspec_m_sim269.log.ancStates	.917	.045	.010	.007	.018
extant_misspec_m_sim271.log.ancStates	0	0	.005	0	.994
extant_misspec_m_sim273.log.ancStates	.002	.007	.976	.007	.005
extant_misspec_m_sim282.log.ancStates	0	.992	.002	.002	.002
extant_misspec_m_sim283.log.ancStates	.005	.481	.500	.010	.002
extant_misspec_m_sim285.log.ancStates	.018	.944	.007	.018	.010
extant_misspec_m_sim288.log.ancStates	.021	.800	.119	.023	.034
extant_misspec_m_sim289.log.ancStates	.045	.710	.202	.021	.021
extant_misspec_m_sim294.log.ancStates	.007	.005	.973	.005	.007
extant_misspec_m_sim298.log.ancStates	.013	.909	.013	.021	.042
